Year,Age,qx
1904,79,0.08069985360538133
1904,80,0.07466914392570148
1904,81,0.08532738508374299
1904,82,0.08854984010719412
1904,83,0.09868852287586671
1904,84,0.10184097698244914
1904,85,0.10270890479345852
1904,86,0.11102810129045115
1904,87,0.12953704171319444
1904,88,0.14143839658173352
1904,89,0.1482535948184432
1904,90,0.1618998603043894
1904,91,0.16657996117733065
1904,92,0.1773560179603338
1904,93,0.19868098415064434
1904,94,0.2201219661422701
1904,95,0.2412387307371672
1904,96,0.23967370591812898
1904,97,0.24433193538263687
1904,98,0.2614856040142297
1904,99,0.2745620407099832
1904,100,0.31009502758136154
1904,101,0.3681781688348139
1904,102,0.41087280824598105
1904,103,0.44155500083571614
1904,104,0.48963702201731635
1904,105,0.6020389262260992
1904,106,0.7903402621635067
1904,107,0.9016854734724092
1905,78,0.067127688927396
1905,79,0.07475439882521515
1905,80,0.07485910375065576
1905,81,0.08266678042843768
1905,82,0.08501847717796833
1905,83,0.09450039467660575
1905,84,0.09455394937039299
1905,85,0.10337281953070805
1905,86,0.11437272251580392
1905,87,0.13028981910086573
1905,88,0.1382567753490303
1905,89,0.1529189191435639
1905,90,0.15745470793353938
1905,91,0.16985820518909253
1905,92,0.17955835175392726
1905,93,0.20186089416063316
1905,94,0.21169426767539032
1905,95,0.22769981133864495
1905,96,0.235319290298359
1905,97,0.2522379001337475
1905,98,0.2630867727110089
1905,99,0.29432526279117466
1905,100,0.34445514570243324
1905,101,0.38506573388063453
1905,102,0.41873983052053504
1905,103,0.4621530088553074
1905,104,0.5614610377116586
1905,105,0.6924955454957616
1905,106,0.6673645234445561
1905,107,0.8584070897486098
1906,77,0.06364789373299641
1906,78,0.06893235614873662
1906,79,0.07921877986214554
1906,80,0.07625716594205688
1906,81,0.07685465732915497
1906,82,0.08300400939711435
1906,83,0.08658215737861755
1906,84,0.09124880524104903
1906,85,0.11077026257931812
1906,86,0.11558084864816483
1906,87,0.1253213316404985
1906,88,0.13815452014190988
1906,89,0.1556825265673932
1906,90,0.15425619293190865
1906,91,0.17757524564007657
1906,92,0.19176021293831735
1906,93,0.20176631503705486
1906,94,0.20864614849965157
1906,95,0.2255117291456593
1906,96,0.2421345408697127
1906,97,0.250693927852495
1906,98,0.2777824899562428
1906,99,0.32043991037867364
1906,100,0.3584180731603817
1906,101,0.3938677872115738
1906,102,0.4326933889831667
1906,103,0.5166395953392816
1906,104,0.6037463579596406
1906,105,0.5306774348419725
1906,106,0.5215548068873369
1906,107,0.5729519452270415
1906,108,0.7849224674214931
1907,76,0.06334789050168974
1907,77,0.0654599973400075
1907,78,0.0746811912717597
1907,79,0.08241125279428636
1907,80,0.07471269900250865
1907,81,0.07555468527861879
1907,82,0.07916804926549788
1907,83,0.08607769854671096
1907,84,0.10043476299361984
1907,85,0.1139592945264741
1907,86,0.11520880423663366
1907,87,0.12837915295119515
1907,88,0.14062110692544263
1907,89,0.1504250092131954
1907,90,0.16330260232470792
1907,91,0.17702375429196968
1907,92,0.1921091893733986
1907,93,0.19633603702561384
1907,94,0.21918375396955073
1907,95,0.2309878738641284
1907,96,0.2376937049978566
1907,97,0.2611576082396786
1907,98,0.29751155776841215
1907,99,0.3339081350267491
1907,100,0.3710615832385495
1907,101,0.40697807324794477
1907,102,0.4817902122533194
1907,103,0.5501110614926896
1907,104,0.4865224827085194
1907,105,0.4606586687622234
1907,106,0.4620755520764287
1907,107,0.5179394170685212
1907,108,0.7894737479224343
1908,75,0.04937519049070405
1908,76,0.05415103095943002
1908,77,0.060316401188638104
1908,78,0.06838123586900148
1908,79,0.07129924515474206
1908,80,0.07019287457315079
1908,81,0.0723439670872009
1908,82,0.07598141782853339
1908,83,0.08801991518456344
1908,84,0.10092717483006858
1908,85,0.10878102426528506
1908,86,0.11722620350431272
1908,87,0.12885105841539882
1908,88,0.13905536589428158
1908,89,0.14798009449005559
1908,90,0.1720093501721739
1908,91,0.17593890124943623
1908,92,0.19584955189413245
1908,93,0.19942858866261207
1908,94,0.2250503087303119
1908,95,0.22414882343200113
1908,96,0.24443595921824732
1908,97,0.27542720901606654
1908,98,0.310587505865429
1908,99,0.34889022720508805
1908,100,0.38260328088924467
1908,101,0.45054928028014063
1908,102,0.5095443192585878
1908,103,0.46509059610892795
1908,104,0.4454591278170709
1908,105,0.44788040608104934
1908,106,0.4968672835272813
1908,107,0.7196792028210589
1909,74,0.05187942497324987
1909,75,0.05782628032947035
1909,76,0.06239194807597942
1909,77,0.07193141860055961
1909,78,0.07598419421015544
1909,79,0.07861537338267449
1909,80,0.06643628254973247
1909,81,0.07329011723066282
1909,82,0.08056815182705918
1909,83,0.08996822662144985
1909,84,0.09724323843492548
1909,85,0.10821305115439206
1909,86,0.11860148122505382
1909,87,0.12424090374073257
1909,88,0.14132612663516836
1909,89,0.14815414950044142
1909,90,0.16829856000791293
1909,91,0.17347928451530534
1909,92,0.19681819554695237
1909,93,0.21154794549334674
1909,94,0.22699593716119001
1909,95,0.22748305252233594
1909,96,0.25365869418202025
1909,97,0.28710075530292195
1909,98,0.3253711710135147
1909,99,0.3562337369875353
1909,100,0.4152239922409367
1909,101,0.4649857493114502
1909,102,0.4366212101255354
1909,103,0.4190454433530149
1909,104,0.4137257141406835
1909,105,0.4438873561179346
1909,106,0.5840111494962088
1910,73,0.03718070450491563
1910,74,0.03988923414062129
1910,75,0.04590176748185131
1910,76,0.04900033215769344
1910,77,0.054324240055529584
1910,78,0.057093285265821206
1910,79,0.06025337940231557
1910,80,0.06502016007120726
1910,81,0.07427798663837781
1910,82,0.08162678049014435
1910,83,0.08863935013737904
1910,84,0.09697166343231142
1910,85,0.10623366330633612
1910,86,0.12026100175990564
1910,87,0.1263636559516527
1910,88,0.1447399667537402
1910,89,0.15727560569199137
1910,90,0.15849298431864703
1910,91,0.1806024934842827
1910,92,0.19522601184653648
1910,93,0.21634885719241717
1910,94,0.23817651269063478
1910,95,0.2327870141655375
1910,96,0.2644786949573995
1910,97,0.3019231569286205
1910,98,0.3296439343733805
1910,99,0.37971664484685086
1910,100,0.42352355098167194
1910,101,0.4121918262810833
1910,102,0.4002450824533681
1910,103,0.3940077216108745
1910,104,0.42405211659650416
1910,105,0.5422565213065609
1911,72,0.040569038345574064
1911,73,0.04355534904195351
1911,74,0.04884806428655398
1911,75,0.053167982400638567
1911,76,0.05590724733477034
1911,77,0.06268098797457657
1911,78,0.0651652348889405
1911,79,0.0711374165103886
1911,80,0.06614088260363189
1911,81,0.07343209883678646
1911,82,0.0795240292354057
1911,83,0.08769267691472162
1911,84,0.0947218555884904
1911,85,0.10027778688061338
1911,86,0.11879614240336962
1911,87,0.13050303956837053
1911,88,0.1388250402479085
1911,89,0.15554815725427523
1911,90,0.15909979980210323
1911,91,0.18509820433616336
1911,92,0.1928344984279919
1911,93,0.21489774934308237
1911,94,0.24353015309830303
1911,95,0.24254311041750146
1911,96,0.27840364978426246
1911,97,0.30295409024126474
1911,98,0.3454679471641734
1911,99,0.38516352843383866
1911,100,0.3878566917448993
1911,101,0.3815175781352736
1911,102,0.3755645928312041
1911,103,0.4043745666879683
1911,104,0.5032998496564699
1912,71,0.03240723660942447
1912,72,0.03468969224223235
1912,73,0.03876287123154415
1912,74,0.04342041416876673
1912,75,0.045626796801863684
1912,76,0.04715820020241206
1912,77,0.051300488977424806
1912,78,0.056094314416053156
1912,79,0.06392812526772244
1912,80,0.0655208101598847
1912,81,0.07437440034815311
1912,82,0.08119150332409587
1912,83,0.08961154638781361
1912,84,0.09222380885608786
1912,85,0.10215348643893774
1912,86,0.11376540994715242
1912,87,0.12714968100676943
1912,88,0.13564575404972698
